,kategori,gejala,gejala_tokens,gejala_tokens_fdist,gejala_tokens_WSW,gejala_tokens_stemmed
232,kulit dan kelamin,atau benjolan biasanya dibawah kecil kulit leher pada tubuh wajah,"['atau', 'benjolan', 'biasanya', 'dibawah', 'kecil', 'kulit', 'leher', 'pada', 'tubuh', 'wajah']",<FreqDist with 10 samples and 10 outcomes>,"['benjolan', 'dibawah', 'kulit', 'leher', 'tubuh', 'wajah']","['benjol', 'bawah', 'kulit', 'leher', 'tubuh', 'wajah']"
233,jantung,beban berat dada ke menjalar napas nyeri rahang seperti sesak tertimpa yang,"['beban', 'berat', 'dada', 'ke', 'menjalar', 'napas', 'nyeri', 'rahang', 'seperti', 'sesak', 'tertimpa', 'yang']",<FreqDist with 12 samples and 12 outcomes>,"['beban', 'berat', 'dada', 'menjalar', 'napas', 'nyeri', 'rahang', 'sesak', 'tertimpa']","['beban', 'berat', 'dada', 'jalar', 'napas', 'nyeri', 'rahang', 'sesak', 'timpa']"
234,kanker,benjolan berulang di infeksi kehilangan leher pendengaran telinga,"['benjolan', 'berulang', 'di', 'infeksi', 'kehilangan', 'leher', 'pendengaran', 'telinga']",<FreqDist with 8 samples and 8 outcomes>,"['benjolan', 'berulang', 'infeksi', 'kehilangan', 'leher', 'pendengaran', 'telinga']","['benjol', 'ulang', 'infeksi', 'hilang', 'leher', 'dengar', 'telinga']"
235,kepala,ada anggota cahaya gerakan kecuali mata merespons pupil refleks respons tertutup tidak tubuh yang,"['ada', 'anggota', 'cahaya', 'gerakan', 'kecuali', 'mata', 'merespons', 'pupil', 'refleks', 'respons', 'tertutup', 'tidak', 'tubuh', 'yang']",<FreqDist with 14 samples and 14 outcomes>,"['anggota', 'cahaya', 'gerakan', 'kecuali', 'mata', 'merespons', 'pupil', 'refleks', 'respons', 'tertutup', 'tubuh']","['anggota', 'cahaya', 'gera', 'kecuali', 'mata', 'respons', 'pupil', 'refleks', 'respons', 'tutup', 'tubuh']"
236,kulit dan kelamin,kulit membengkak merah nyeri,"['kulit', 'membengkak', 'merah', 'nyeri']",<FreqDist with 4 samples and 4 outcomes>,"['kulit', 'membengkak', 'merah', 'nyeri']","['kulit', 'bengkak', 'merah', 'nyeri']"
237,kanker,bengkak berwarna mata merah pupil putih,"['bengkak', 'berwarna', 'mata', 'merah', 'pupil', 'putih']",<FreqDist with 6 samples and 6 outcomes>,"['bengkak', 'berwarna', 'mata', 'merah', 'pupil', 'putih']","['bengkak', 'warna', 'mata', 'merah', 'pupil', 'putih']"
238,infeksi,berkemih demam nyeri pinggang saat,"['berkemih', 'demam', 'nyeri', 'pinggang', 'saat']",<FreqDist with 5 samples and 5 outcomes>,"['berkemih', 'demam', 'nyeri', 'pinggang']","['kemih', 'demam', 'nyeri', 'pinggang']"
239,perut,benjolan nyeri,"['benjolan', 'nyeri']",<FreqDist with 2 samples and 2 outcomes>,"['benjolan', 'nyeri']","['benjol', 'nyeri']"
240,infeksi,atas batuk diare kering perut sakit,"['atas', 'batuk', 'diare', 'kering', 'perut', 'sakit']",<FreqDist with 6 samples and 6 outcomes>,"['batuk', 'diare', 'kering', 'perut']","['batuk', 'diare', 'kering', 'perut']"
241,infeksi,berulang dan demam menggigil yang,"['berulang', 'dan', 'demam', 'menggigil', 'yang']",<FreqDist with 5 samples and 5 outcomes>,"['berulang', 'demam', 'menggigil']","['ulang', 'demam', 'gigil']"
242,kulit dan kelamin,benjol berlebihan cairan encer pendarahan secara vagina,"['benjol', 'berlebihan', 'cairan', 'encer', 'pendarahan', 'secara', 'vagina']",<FreqDist with 7 samples and 7 outcomes>,"['benjol', 'cairan', 'encer', 'pendarahan', 'vagina']","['benjol', 'cair', 'encer', 'darah', 'vagina']"
243,infeksi,alat dada dan di kaki kelamin pembengkakan tangan,"['alat', 'dada', 'dan', 'di', 'kaki', 'kelamin', 'pembengkakan', 'tangan']",<FreqDist with 8 samples and 8 outcomes>,"['alat', 'dada', 'kaki', 'kelamin', 'pembengkakan', 'tangan']","['alat', 'dada', 'kaki', 'kelamin', 'bengkak', 'tangan']"
244,jantung,berdebar bibir dan jantung kencang kuku kulit makan membiru nafsu tidak,"['berdebar', 'bibir', 'dan', 'jantung', 'kencang', 'kuku', 'kulit', 'makan', 'membiru', 'nafsu', 'tidak']",<FreqDist with 11 samples and 11 outcomes>,"['berdebar', 'bibir', 'jantung', 'kencang', 'kuku', 'kulit', 'makan', 'membiru', 'nafsu']","['debar', 'bibir', 'jantung', 'kencang', 'kuku', 'kulit', 'makan', 'biru', 'nafsu']"
245,infeksi,demam nyeri otot sendi,"['demam', 'nyeri', 'otot', 'sendi']",<FreqDist with 4 samples and 4 outcomes>,"['demam', 'nyeri', 'otot', 'sendi']","['demam', 'nyeri', 'otot', 'sendi']"
246,infeksi,dada demam kelelahan nyeri terasa,"['dada', 'demam', 'kelelahan', 'nyeri', 'terasa']",<FreqDist with 5 samples and 5 outcomes>,"['dada', 'demam', 'kelelahan', 'nyeri']","['dada', 'demam', 'lelah', 'nyeri']"
247,infeksi,demam kaku kepala otot sakit,"['demam', 'kaku', 'kepala', 'otot', 'sakit']",<FreqDist with 5 samples and 5 outcomes>,"['demam', 'kaku', 'kepala', 'otot']","['demam', 'kaku', 'kepala', 'otot']"
248,kulit dan kelamin,benjolan di kecil kemerahan kulit rasa terbakar wajah,"['benjolan', 'di', 'kecil', 'kemerahan', 'kulit', 'rasa', 'terbakar', 'wajah']",<FreqDist with 8 samples and 8 outcomes>,"['benjolan', 'kemerahan', 'kulit', 'terbakar', 'wajah']","['benjol', 'merah', 'kulit', 'bakar', 'wajah']"
249,kulit dan kelamin,elastis fleksibel kulit lentur rapuh sangat sendi yang,"['elastis', 'fleksibel', 'kulit', 'lentur', 'rapuh', 'sangat', 'sendi', 'yang']",<FreqDist with 8 samples and 8 outcomes>,"['elastis', 'fleksibel', 'kulit', 'lentur', 'rapuh', 'sendi']","['elastis', 'fleksibel', 'kulit', 'lentur', 'rapuh', 'sendi']"
250,infeksi,demam lelah nyeri otot tubuh,"['demam', 'lelah', 'nyeri', 'otot', 'tubuh']",<FreqDist with 5 samples and 5 outcomes>,"['demam', 'lelah', 'nyeri', 'otot', 'tubuh']","['demam', 'lelah', 'nyeri', 'otot', 'tubuh']"
251,kulit dan kelamin,di enak luka mulut rasa sensasi sudut terbakar tidak,"['di', 'enak', 'luka', 'mulut', 'rasa', 'sensasi', 'sudut', 'terbakar', 'tidak']",<FreqDist with 9 samples and 9 outcomes>,"['enak', 'luka', 'mulut', 'sensasi', 'sudut', 'terbakar']","['enak', 'luka', 'mulut', 'sensasi', 'sudut', 'bakar']"
252,infeksi,batuk dada demam sakit,"['batuk', 'dada', 'demam', 'sakit']",<FreqDist with 4 samples and 4 outcomes>,"['batuk', 'dada', 'demam']","['batuk', 'dada', 'demam']"
253,kulit dan kelamin,bersisik kemerahan kulit lepuhan pada,"['bersisik', 'kemerahan', 'kulit', 'lepuhan', 'pada']",<FreqDist with 5 samples and 5 outcomes>,"['bersisik', 'kemerahan', 'kulit', 'lepuhan']","['sisik', 'merah', 'kulit', 'lepuh']"
254,kulit dan kelamin,benjolan bulat dan gatal hiperpigmentasi kecil padat,"['benjolan', 'bulat', 'dan', 'gatal', 'hiperpigmentasi', 'kecil', 'padat']",<FreqDist with 7 samples and 7 outcomes>,"['benjolan', 'bulat', 'gatal', 'hiperpigmentasi', 'padat']","['benjol', 'bulat', 'gatal', 'hiperpigmentasi', 'padat']"
255,kulit dan kelamin,gatal mual ruam,"['gatal', 'mual', 'ruam']",<FreqDist with 3 samples and 3 outcomes>,"['gatal', 'mual', 'ruam']","['gatal', 'mual', 'ruam']"
256,kulit dan kelamin,benjolan berbintik berdaging dan kecil,"['benjolan', 'berbintik', 'berdaging', 'dan', 'kecil']",<FreqDist with 5 samples and 5 outcomes>,"['benjolan', 'berbintik', 'berdaging']","['benjol', 'bintik', 'daging']"
257,infeksi,amandel atau bagian bengkak bening getah kelenjar kemerahan kulit nyeri pada seperti tertentu tubuh,"['amandel', 'atau', 'bagian', 'bengkak', 'bening', 'getah', 'kelenjar', 'kemerahan', 'kulit', 'nyeri', 'pada', 'seperti', 'tertentu', 'tubuh']",<FreqDist with 14 samples and 14 outcomes>,"['amandel', 'bengkak', 'bening', 'getah', 'kelenjar', 'kemerahan', 'kulit', 'nyeri', 'tubuh']","['amandel', 'bengkak', 'bening', 'getah', 'kelenjar', 'merah', 'kulit', 'nyeri', 'tubuh']"
258,jantung,bernapas darah denyut lemah nadi rendah sulit tekanan teraba,"['bernapas', 'darah', 'denyut', 'lemah', 'nadi', 'rendah', 'sulit', 'tekanan', 'teraba']",<FreqDist with 9 samples and 9 outcomes>,"['bernapas', 'darah', 'denyut', 'lemah', 'nadi', 'rendah', 'sulit', 'tekanan', 'teraba']","['napas', 'darah', 'denyut', 'lemah', 'nadi', 'rendah', 'sulit', 'tekan', 'aba']"
259,perut,cepat demam lelah nyeri perut,"['cepat', 'demam', 'lelah', 'nyeri', 'perut']",<FreqDist with 5 samples and 5 outcomes>,"['cepat', 'demam', 'lelah', 'nyeri', 'perut']","['cepat', 'demam', 'lelah', 'nyeri', 'perut']"
260,kulit dan kelamin,air berbau berhubungan buang keputihan nyeri rasa saat seksual terbakar yang,"['air', 'berbau', 'berhubungan', 'buang', 'keputihan', 'nyeri', 'rasa', 'saat', 'seksual', 'terbakar', 'yang']",<FreqDist with 11 samples and 11 outcomes>,"['air', 'berbau', 'berhubungan', 'buang', 'keputihan', 'nyeri', 'seksual', 'terbakar']","['air', 'bau', 'hubung', 'buang', 'putih', 'nyeri', 'seksual', 'bakar']"
261,infeksi,atau darah di kering kulit memerah nanah nyeri terbuka yang,"['atau', 'darah', 'di', 'kering', 'kulit', 'memerah', 'nanah', 'nyeri', 'terbuka', 'yang']",<FreqDist with 10 samples and 10 outcomes>,"['darah', 'kering', 'kulit', 'memerah', 'nanah', 'nyeri', 'terbuka']","['darah', 'kering', 'kulit', 'merah', 'nanah', 'nyeri', 'buka']"
262,kanker,badan berat demam keringat malam penurunan,"['badan', 'berat', 'demam', 'keringat', 'malam', 'penurunan']",<FreqDist with 6 samples and 6 outcomes>,"['badan', 'berat', 'demam', 'keringat', 'malam', 'penurunan']","['badan', 'berat', 'demam', 'keringat', 'malam', 'turun']"
263,kulit dan kelamin,air berbau buang dan gatal kecil nyeri penis saat sakit,"['air', 'berbau', 'buang', 'dan', 'gatal', 'kecil', 'nyeri', 'penis', 'saat', 'sakit']",<FreqDist with 10 samples and 10 outcomes>,"['air', 'berbau', 'buang', 'gatal', 'nyeri', 'penis']","['air', 'bau', 'buang', 'gatal', 'nyeri', 'penis']"
264,perut,atas badan berat ke makan menjalar nafsu nyeri penurunan perut punggung yang,"['atas', 'badan', 'berat', 'ke', 'makan', 'menjalar', 'nafsu', 'nyeri', 'penurunan', 'perut', 'punggung', 'yang']",<FreqDist with 12 samples and 12 outcomes>,"['badan', 'berat', 'makan', 'menjalar', 'nafsu', 'nyeri', 'penurunan', 'perut', 'punggung']","['badan', 'berat', 'makan', 'jalar', 'nafsu', 'nyeri', 'turun', 'perut', 'punggung']"
265,kulit dan kelamin,atau berbentuk berwarna bintik bulat cokelat datar hitam menonjol merah muda muncul oval tua,"['atau', 'berbentuk', 'berwarna', 'bintik', 'bulat', 'cokelat', 'datar', 'hitam', 'menonjol', 'merah', 'muda', 'muncul', 'oval', 'tua']",<FreqDist with 14 samples and 14 outcomes>,"['berbentuk', 'berwarna', 'bintik', 'bulat', 'cokelat', 'datar', 'hitam', 'menonjol', 'merah', 'muda', 'muncul', 'oval', 'tua']","['bentuk', 'warna', 'bintik', 'bulat', 'cokelat', 'datar', 'hitam', 'tonjol', 'merah', 'muda', 'muncul', 'oval', 'tua']"
266,kulit dan kelamin,area atau bagian bawah bercak bintik celana di gatal hitam kecil pada paha perut terkena,"['area', 'atau', 'bagian', 'bawah', 'bercak', 'bintik', 'celana', 'di', 'gatal', 'hitam', 'kecil', 'pada', 'paha', 'perut', 'terkena']",<FreqDist with 15 samples and 15 outcomes>,"['area', 'bercak', 'bintik', 'celana', 'gatal', 'hitam', 'paha', 'perut', 'terkena']","['area', 'bercak', 'bintik', 'celana', 'gatal', 'hitam', 'paha', 'perut', 'kena']"
267,pernapasan,alergi berair bersin dan gatal hidung konjungtivitis mata merah pilek tersumbat,"['alergi', 'berair', 'bersin', 'dan', 'gatal', 'hidung', 'konjungtivitis', 'mata', 'merah', 'pilek', 'tersumbat']",<FreqDist with 11 samples and 11 outcomes>,"['alergi', 'berair', 'bersin', 'gatal', 'hidung', 'konjungtivitis', 'mata', 'merah', 'pilek', 'tersumbat']","['alergi', 'air', 'bersin', 'gatal', 'hidung', 'konjungtivitis', 'mata', 'merah', 'pilek', 'sumbat']"
268,kulit dan kelamin,area di kelamin kutil lesi merah ruam,"['area', 'di', 'kelamin', 'kutil', 'lesi', 'merah', 'ruam']",<FreqDist with 7 samples and 7 outcomes>,"['area', 'kelamin', 'kutil', 'lesi', 'merah', 'ruam']","['area', 'kelamin', 'kutil', 'lesi', 'merah', 'ruam']"
269,kulit dan kelamin,bengkak dan gatal kulit melepuh merah muncul ruam yang,"['bengkak', 'dan', 'gatal', 'kulit', 'melepuh', 'merah', 'muncul', 'ruam', 'yang']",<FreqDist with 9 samples and 9 outcomes>,"['bengkak', 'gatal', 'kulit', 'melepuh', 'merah', 'muncul', 'ruam']","['bengkak', 'gatal', 'kulit', 'lepuh', 'merah', 'muncul', 'ruam']"
270,kanker,bening demam getah kelenjar keringat malam pembengkakan,"['bening', 'demam', 'getah', 'kelenjar', 'keringat', 'malam', 'pembengkakan']",<FreqDist with 7 samples and 7 outcomes>,"['bening', 'demam', 'getah', 'kelenjar', 'keringat', 'malam', 'pembengkakan']","['bening', 'demam', 'getah', 'kelenjar', 'keringat', 'malam', 'bengkak']"
271,kulit dan kelamin,bau dan di gatal jumlah kemerahan keputihan pada perubahan sekitar vagina warna,"['bau', 'dan', 'di', 'gatal', 'jumlah', 'kemerahan', 'keputihan', 'pada', 'perubahan', 'sekitar', 'vagina', 'warna']",<FreqDist with 12 samples and 12 outcomes>,"['bau', 'gatal', 'kemerahan', 'keputihan', 'perubahan', 'vagina', 'warna']","['bau', 'gatal', 'merah', 'putih', 'ubah', 'vagina', 'warna']"
272,infeksi,abses dan di infeksi jaringan kerusakan lokasi pada parut pembengkakan peradangan terbentuknya,"['abses', 'dan', 'di', 'infeksi', 'jaringan', 'kerusakan', 'lokasi', 'pada', 'parut', 'pembengkakan', 'peradangan', 'terbentuknya']",<FreqDist with 12 samples and 12 outcomes>,"['abses', 'infeksi', 'jaringan', 'kerusakan', 'lokasi', 'parut', 'pembengkakan', 'peradangan', 'terbentuknya']","['abses', 'infeksi', 'jaring', 'rusa', 'lokasi', 'parut', 'bengkak', 'adang', 'bentuk']"
273,kulit dan kelamin,bercak kulit muncul pada putih,"['bercak', 'kulit', 'muncul', 'pada', 'putih']",<FreqDist with 5 samples and 5 outcomes>,"['bercak', 'kulit', 'muncul', 'putih']","['bercak', 'kulit', 'muncul', 'putih']"
274,kanker,bening di getah kelenjar leher lelah lesu mual pembengkakan,"['bening', 'di', 'getah', 'kelenjar', 'leher', 'lelah', 'lesu', 'mual', 'pembengkakan']",<FreqDist with 9 samples and 9 outcomes>,"['bening', 'getah', 'kelenjar', 'leher', 'lelah', 'lesu', 'mual', 'pembengkakan']","['bening', 'getah', 'kelenjar', 'leher', 'lelah', 'lesu', 'mual', 'bengkak']"
275,perut,atau bab badan berat berdarah diare konstipasi penurunan perubahan pola sebab seperti tanpa,"['atau', 'bab', 'badan', 'berat', 'berdarah', 'diare', 'konstipasi', 'penurunan', 'perubahan', 'pola', 'sebab', 'seperti', 'tanpa']",<FreqDist with 13 samples and 13 outcomes>,"['bab', 'badan', 'berat', 'berdarah', 'diare', 'konstipasi', 'penurunan', 'perubahan', 'pola']","['bab', 'badan', 'berat', 'darah', 'diare', 'konstipasi', 'turun', 'ubah', 'pola']"
276,kanker,badan bagian berat dan kulit kuning mata membengkak pada penurunan perut putih sebab tanpa,"['badan', 'bagian', 'berat', 'dan', 'kulit', 'kuning', 'mata', 'membengkak', 'pada', 'penurunan', 'perut', 'putih', 'sebab', 'tanpa']",<FreqDist with 14 samples and 14 outcomes>,"['badan', 'berat', 'kulit', 'kuning', 'mata', 'membengkak', 'penurunan', 'perut', 'putih']","['badan', 'berat', 'kulit', 'kuning', 'mata', 'bengkak', 'turun', 'perut', 'putih']"
277,kulit dan kelamin,gatal ruam,"['gatal', 'ruam']",<FreqDist with 2 samples and 2 outcomes>,"['gatal', 'ruam']","['gatal', 'ruam']"
278,infeksi,bau dan di gatal jumlah kemerahan keputihan pada perubahan sekitar vagina warna,"['bau', 'dan', 'di', 'gatal', 'jumlah', 'kemerahan', 'keputihan', 'pada', 'perubahan', 'sekitar', 'vagina', 'warna']",<FreqDist with 12 samples and 12 outcomes>,"['bau', 'gatal', 'kemerahan', 'keputihan', 'perubahan', 'vagina', 'warna']","['bau', 'gatal', 'merah', 'putih', 'ubah', 'vagina', 'warna']"
279,pernapasan,batuk bersin hidung mampet,"['batuk', 'bersin', 'hidung', 'mampet']",<FreqDist with 4 samples and 4 outcomes>,"['batuk', 'bersin', 'hidung', 'mampet']","['batuk', 'bersin', 'hidung', 'mampet']"
280,pernapasan,atau bengkak berubah dahi dan hidung ingus kental mata nyeri pada pipi tersumbar warna yang,"['atau', 'bengkak', 'berubah', 'dahi', 'dan', 'hidung', 'ingus', 'kental', 'mata', 'nyeri', 'pada', 'pipi', 'tersumbar', 'warna', 'yang']",<FreqDist with 15 samples and 15 outcomes>,"['bengkak', 'berubah', 'dahi', 'hidung', 'ingus', 'kental', 'mata', 'nyeri', 'pipi', 'tersumbar', 'warna']","['bengkak', 'ubah', 'dahi', 'hidung', 'ingus', 'kental', 'mata', 'nyeri', 'pipi', 'sumbar', 'warna']"
281,infeksi,atas demam kanan muntah nyeri perut,"['atas', 'demam', 'kanan', 'muntah', 'nyeri', 'perut']",<FreqDist with 6 samples and 6 outcomes>,"['demam', 'kanan', 'muntah', 'nyeri', 'perut']","['demam', 'kanan', 'muntah', 'nyeri', 'perut']"
282,kulit dan kelamin,bab berkemih dan di nyeri penis saat,"['bab', 'berkemih', 'dan', 'di', 'nyeri', 'penis', 'saat']",<FreqDist with 7 samples and 7 outcomes>,"['bab', 'berkemih', 'nyeri', 'penis']","['bab', 'kemih', 'nyeri', 'penis']"
283,jantung,cepat dada detak jantung kesadaran nyeri penurunan,"['cepat', 'dada', 'detak', 'jantung', 'kesadaran', 'nyeri', 'penurunan']",<FreqDist with 7 samples and 7 outcomes>,"['cepat', 'dada', 'detak', 'jantung', 'kesadaran', 'nyeri', 'penurunan']","['cepat', 'dada', 'detak', 'jantung', 'sadar', 'nyeri', 'turun']"
284,perut,benjolan di nyaman nyeri selangkangan tidak,"['benjolan', 'di', 'nyaman', 'nyeri', 'selangkangan', 'tidak']",<FreqDist with 6 samples and 6 outcomes>,"['benjolan', 'nyaman', 'nyeri', 'selangkangan']","['benjol', 'nyaman', 'nyeri', 'selangkang']"
285,perut,diare kram mual perut,"['diare', 'kram', 'mual', 'perut']",<FreqDist with 4 samples and 4 outcomes>,"['diare', 'kram', 'mual', 'perut']","['diare', 'kram', 'mual', 'perut']"
286,kulit dan kelamin,bintik demam di kehilangan kulit makan merah nafsu,"['bintik', 'demam', 'di', 'kehilangan', 'kulit', 'makan', 'merah', 'nafsu']",<FreqDist with 8 samples and 8 outcomes>,"['bintik', 'demam', 'kehilangan', 'kulit', 'makan', 'merah', 'nafsu']","['bintik', 'demam', 'hilang', 'kulit', 'makan', 'merah', 'nafsu']"
287,kepala,hidung kepala mata merah sakit tersumbat,"['hidung', 'kepala', 'mata', 'merah', 'sakit', 'tersumbat']",<FreqDist with 6 samples and 6 outcomes>,"['hidung', 'kepala', 'mata', 'merah', 'tersumbat']","['hidung', 'kepala', 'mata', 'merah', 'sumbat']"
288,infeksi,berwarna gelap kehilangan makan nyeri perut selera urine,"['berwarna', 'gelap', 'kehilangan', 'makan', 'nyeri', 'perut', 'selera', 'urine']",<FreqDist with 8 samples and 8 outcomes>,"['berwarna', 'gelap', 'kehilangan', 'makan', 'nyeri', 'perut', 'selera', 'urine']","['warna', 'gelap', 'hilang', 'makan', 'nyeri', 'perut', 'selera', 'urine']"
289,kulit dan kelamin,air dan dari keluarnya ketidakmampuan lebih mani menahan menit sperma,"['air', 'dan', 'dari', 'keluarnya', 'ketidakmampuan', 'lebih', 'mani', 'menahan', 'menit', 'sperma']",<FreqDist with 10 samples and 10 outcomes>,"['air', 'keluarnya', 'ketidakmampuan', 'mani', 'menahan', 'menit', 'sperma']","['air', 'keluar', 'ketidakmampuan', 'mani', 'tahan', 'menit', 'sperma']"
290,kanker,atas badan berat ke makan menjalar nafsu nyeri penurunan perut punggung yang,"['atas', 'badan', 'berat', 'ke', 'makan', 'menjalar', 'nafsu', 'nyeri', 'penurunan', 'perut', 'punggung', 'yang']",<FreqDist with 12 samples and 12 outcomes>,"['badan', 'berat', 'makan', 'menjalar', 'nafsu', 'nyeri', 'penurunan', 'perut', 'punggung']","['badan', 'berat', 'makan', 'jalar', 'nafsu', 'nyeri', 'turun', 'perut', 'punggung']"
291,kepala,jaundice lesu mengantuk selalu,"['jaundice', 'lesu', 'mengantuk', 'selalu']",<FreqDist with 4 samples and 4 outcomes>,"['jaundice', 'lesu', 'mengantuk']","['jaundice', 'lesu', 'antuk']"
292,kanker,benjolan cokelat dan kulit lesi pada putih,"['benjolan', 'cokelat', 'dan', 'kulit', 'lesi', 'pada', 'putih']",<FreqDist with 7 samples and 7 outcomes>,"['benjolan', 'cokelat', 'kulit', 'lesi', 'putih']","['benjol', 'cokelat', 'kulit', 'lesi', 'putih']"
293,infeksi,adanya area berbeda bercak biasanya daerah gejala infeksi kandidiasis pada putih tergantung terinfeksi terjadinya yang,"['adanya', 'area', 'berbeda', 'bercak', 'biasanya', 'daerah', 'gejala', 'infeksi', 'kandidiasis', 'pada', 'putih', 'tergantung', 'terinfeksi', 'terjadinya', 'yang']",<FreqDist with 15 samples and 15 outcomes>,"['area', 'berbeda', 'bercak', 'daerah', 'gejala', 'infeksi', 'kandidiasis', 'putih', 'tergantung', 'terinfeksi']","['area', 'beda', 'bercak', 'daerah', 'gejala', 'infeksi', 'kandidiasis', 'putih', 'gantung', 'infeksi']"
294,infeksi,kulit pada pembengkakan penebalan rendah suhu tubuh wajah,"['kulit', 'pada', 'pembengkakan', 'penebalan', 'rendah', 'suhu', 'tubuh', 'wajah']",<FreqDist with 8 samples and 8 outcomes>,"['kulit', 'pembengkakan', 'penebalan', 'rendah', 'suhu', 'tubuh', 'wajah']","['kulit', 'bengkak', 'tebal', 'rendah', 'suhu', 'tubuh', 'wajah']"
295,kepala,dan demam gelisah kaku kepribadian leher menjadi perilaku perubahan,"['dan', 'demam', 'gelisah', 'kaku', 'kepribadian', 'leher', 'menjadi', 'perilaku', 'perubahan']",<FreqDist with 9 samples and 9 outcomes>,"['demam', 'gelisah', 'kaku', 'kepribadian', 'leher', 'perilaku', 'perubahan']","['demam', 'gelisah', 'kaku', 'pribadi', 'leher', 'perilaku', 'ubah']"
296,pernapasan,berair bersin hidung tersumbat,"['berair', 'bersin', 'hidung', 'tersumbat']",<FreqDist with 4 samples and 4 outcomes>,"['berair', 'bersin', 'hidung', 'tersumbat']","['air', 'bersin', 'hidung', 'sumbat']"
297,kulit dan kelamin,berkurang ereksi hasrat kesulitan mempertahankan mendapatkan seksual yang,"['berkurang', 'ereksi', 'hasrat', 'kesulitan', 'mempertahankan', 'mendapatkan', 'seksual', 'yang']",<FreqDist with 8 samples and 8 outcomes>,"['berkurang', 'ereksi', 'hasrat', 'kesulitan', 'mempertahankan', 'seksual']","['kurang', 'ereksi', 'hasrat', 'sulit', 'tahan', 'seksual']"
298,kulit dan kelamin,benjolan dekat demam di lubang nyeri pada vagina,"['benjolan', 'dekat', 'demam', 'di', 'lubang', 'nyeri', 'pada', 'vagina']",<FreqDist with 8 samples and 8 outcomes>,"['benjolan', 'demam', 'lubang', 'nyeri', 'vagina']","['benjol', 'demam', 'lubang', 'nyeri', 'vagina']"
299,kepala,air berbuih dan hilangnya kejang kesadaran liur menetes otot yang,"['air', 'berbuih', 'dan', 'hilangnya', 'kejang', 'kesadaran', 'liur', 'menetes', 'otot', 'yang']",<FreqDist with 10 samples and 10 outcomes>,"['air', 'berbuih', 'hilangnya', 'kejang', 'kesadaran', 'liur', 'menetes', 'otot']","['air', 'buih', 'hilang', 'kejang', 'sadar', 'liur', 'tetes', 'otot']"
300,pernapasan,batuk darah hari kronis mengi terjadi tiap yang,"['batuk', 'darah', 'hari', 'kronis', 'mengi', 'terjadi', 'tiap', 'yang']",<FreqDist with 8 samples and 8 outcomes>,"['batuk', 'darah', 'kronis', 'mengi']","['batuk', 'darah', 'kronis', 'mengi']"
301,infeksi,berdarah cair diare mendadak perut sakit,"['berdarah', 'cair', 'diare', 'mendadak', 'perut', 'sakit']",<FreqDist with 6 samples and 6 outcomes>,"['berdarah', 'cair', 'diare', 'mendadak', 'perut']","['darah', 'cair', 'diare', 'dadak', 'perut']"
302,jantung,atau lelah mendadak mudah napas pingsan pusing sesak,"['atau', 'lelah', 'mendadak', 'mudah', 'napas', 'pingsan', 'pusing', 'sesak']",<FreqDist with 8 samples and 8 outcomes>,"['lelah', 'mendadak', 'mudah', 'napas', 'pingsan', 'pusing', 'sesak']","['lelah', 'dadak', 'mudah', 'napas', 'pingsan', 'pusing', 'sesak']"
303,infeksi,demam kepala menggigil sakit,"['demam', 'kepala', 'menggigil', 'sakit']",<FreqDist with 4 samples and 4 outcomes>,"['demam', 'kepala', 'menggigil']","['demam', 'kepala', 'gigil']"
304,kepala,atau berbicara dan kaki kebingungan kelumpuhan kesulitan lemah lengan mati pada rasa satu sisi terutama tubuh wajah,"['atau', 'berbicara', 'dan', 'kaki', 'kebingungan', 'kelumpuhan', 'kesulitan', 'lemah', 'lengan', 'mati', 'pada', 'rasa', 'satu', 'sisi', 'terutama', 'tubuh', 'wajah']",<FreqDist with 17 samples and 17 outcomes>,"['berbicara', 'kaki', 'kebingungan', 'kelumpuhan', 'kesulitan', 'lemah', 'lengan', 'mati', 'sisi', 'tubuh', 'wajah']","['bicara', 'kaki', 'bingung', 'lumpuh', 'sulit', 'lemah', 'lengan', 'mati', 'sisi', 'tubuh', 'wajah']"
305,infeksi,anosmia batuk napas sesak,"['anosmia', 'batuk', 'napas', 'sesak']",<FreqDist with 4 samples and 4 outcomes>,"['anosmia', 'batuk', 'napas', 'sesak']","['anosmia', 'batuk', 'napas', 'sesak']"
306,infeksi,demam lelah sakit tenggorokan,"['demam', 'lelah', 'sakit', 'tenggorokan']",<FreqDist with 4 samples and 4 outcomes>,"['demam', 'lelah', 'tenggorokan']","['demam', 'lelah', 'tenggorok']"
307,perut,dan kembung konstipasi mual nyeri perut,"['dan', 'kembung', 'konstipasi', 'mual', 'nyeri', 'perut']",<FreqDist with 6 samples and 6 outcomes>,"['kembung', 'konstipasi', 'mual', 'nyeri', 'perut']","['kembung', 'konstipasi', 'mual', 'nyeri', 'perut']"
308,kanker,area dan dekat di lelah melemahnya mudah nyeri pembengkakan terjangkit tulang yang,"['area', 'dan', 'dekat', 'di', 'lelah', 'melemahnya', 'mudah', 'nyeri', 'pembengkakan', 'terjangkit', 'tulang', 'yang']",<FreqDist with 12 samples and 12 outcomes>,"['area', 'lelah', 'melemahnya', 'mudah', 'nyeri', 'pembengkakan', 'terjangkit', 'tulang']","['area', 'lelah', 'lemah', 'mudah', 'nyeri', 'bengkak', 'jangkit', 'tulang']"
